type,200787_s_at,200788_s_at,201301_s_at,201302_at,201505_at,201834_at,201884_at,202107_s_at,202207_at,202293_at,202366_at,202524_s_at,202575_at,202609_at,202633_at,202786_at,202962_at,203474_at,203559_s_at,204351_at,204369_at,204388_s_at,204457_s_at,204546_at,204623_at,204648_at,205020_s_at,205137_x_at,205221_at,205778_at,205799_s_at,205870_at,206067_s_at,206157_at,206954_at,207233_s_at,207655_s_at,208029_s_at,208126_s_at,209114_at,209147_s_at,209173_at,209272_at,209558_s_at,209560_s_at,209899_s_at,210264_at,210619_s_at,211026_s_at,211184_s_at,211651_s_at,211689_s_at,212151_at,212838_at,213134_x_at,214307_at,214308_s_at,214421_x_at,214665_s_at,215103_at,216010_x_at,216262_s_at,216953_s_at,217043_s_at,218124_at,218189_s_at,218272_at,218309_at,218687_s_at,218872_at,219695_at,219735_s_at,219836_at,220753_s_at,221577_x_at,222272_x_at,32625_at,40093_at,45288_at,90265_at
Ovarian_Tumor_Serous,9.71334366748906,10.5871545354843,9.812835960773867,8.97655330645949,6.45479291207472,6.8596691518631605,5.77613315343329,8.99783746658049,7.901746559023089,7.257824629775059,6.34231979524603,9.72017561627698,8.46616752138058,7.9988747794371,8.501770114298491,5.72775345638453,7.64391613271471,5.666645036254,5.15833356647204,4.74025856904578,6.679122524187269,5.41695615774953,9.33346883227597,6.2311306932902095,5.915180822093821,7.13919943119714,6.814529341396249,6.25306656414346,4.5984001904896505,7.44450090563053,7.13419208353953,5.5249925501157495,8.00542563583637,4.88276488401023,6.47513475094851,5.332614076727429,5.70049031024374,10.3016438755619,5.230422003259849,7.953604165900819,7.593553844454731,6.93745442624826,8.19345556751598,7.34639426344378,5.9405941915344105,10.5463296618189,5.85129719677804,5.70488076847571,7.23914758919482,5.5860377167902895,6.501743062285709,5.0794588292472405,9.068180601496278,6.82345566904369,9.314646422983367,4.4082363892108,5.476271207485241,5.549911790394679,8.83805990457558,4.40875919479397,5.0283932585202304,7.68575550305317,6.319860104479281,8.00899324583019,7.23892077345625,7.42956212085097,6.90736157734954,6.53762809053478,5.25755324001725,5.9127388927171305,4.991625849012849,6.963715658967299,8.23705641562456,6.28783661894899,5.1159733177558095,5.04956107471306,8.29091575912533,10.0708415827299,5.24660719055022,8.44047141571948
Ovarian_Tumor_Endometrioid,8.63484754688509,10.4061937999851,8.53160666879264,8.66165246718182,7.65254525518592,8.13343890231139,6.31035331842235,7.2447301142742,6.144518298227379,6.492944596418929,6.46734291277108,6.462317458015421,6.80322415623866,7.175986409304941,7.69094060395814,5.87306226029649,9.72059298593499,5.422688457477911,5.05105093516642,7.569454993147159,5.91978138274488,4.98840024452712,6.1163567344614505,7.0220210632460205,6.76617672372741,5.26067349165546,8.30827421680301,6.76159058193582,5.58563102029781,5.71253153701975,4.52135150814925,5.576982669483829,5.01508211763751,4.01157822787352,6.032379095955499,5.27885479651397,8.14318371784457,9.76172911388525,5.58080789690727,7.38976171546772,6.36277651059296,8.038954452505589,8.0546354736894,8.52077488931878,10.274605432981,9.08413315645654,6.11350944546507,6.28570460190755,8.343750446658749,5.597831524813191,7.74857244088705,5.17987479633511,10.1296709237598,8.050047272436219,8.54047540852584,4.77063680527177,6.0758299028267,6.13286300232281,9.05680007791926,4.59802995876426,5.45553103606521,7.503546434144889,5.762521033543379,7.371596941693441,8.37233657756126,7.895807775526509,7.59028456985205,9.97013177228,5.38886896517296,5.833624483777419,5.374454746971519,6.78298764813877,5.753080841117789,6.2207959261635,5.91172937349671,5.42464137799723,6.340947169014799,8.100068258069541,5.02599820844081,9.00170077269891
Ovarian_Tumor_Mucinous,7.73105287091538,8.806165444258971,10.7172296032845,10.5759390848331,7.5102837760488,7.70367859980679,13.3828456364045,7.94944178892832,6.8979677337591205,6.5512904352047805,7.569572677750959,6.44459945583979,6.65889265613091,9.95508939400693,7.29162857043033,8.00394059806626,8.11535457862988,7.40208158097272,9.896087565897789,12.039000165481,5.815205515655951,7.4956231085218095,6.88724779032267,6.725317344686049,12.417160256275,5.90784322283582,8.31024581901367,8.410814115696171,4.94517334376065,5.623653386606179,8.35968536833099,7.492299006807361,5.61833110459929,4.11865557661757,6.20871195993441,5.168898503599849,7.93936373207917,8.76709476162053,5.60853705403021,11.4176134551424,8.73471118358873,12.3135088866613,7.942578885204071,7.831811677840659,7.66793193579745,9.198073077947267,7.7173925635303,7.6353856096882495,9.889700136250449,7.962311146323539,7.14088957814111,9.44064256879676,8.07143319592522,8.20420548543618,8.46013973807991,4.611360981646089,5.99097257728896,5.84750837002139,9.88089690920302,4.63603962931142,7.496118234890241,6.78841295680897,5.96995853451447,6.790327675026161,8.80154534039247,8.95399438280316,7.66377607476176,10.2809939710868,9.68835998708241,6.360047923152,5.577694556611201,7.43660110381068,5.280298019929219,7.82273313941775,10.6158930510375,5.34507206224994,6.26311154950545,7.59683465257231,6.409350116504839,9.34663325876986
Ovarian_Tumor_Endometrioid,7.59841747945429,9.20183095344765,10.1769051332117,9.826937269728472,8.979560083236,7.96342226819505,5.82832585862042,8.059018133035769,7.991469189395599,6.50409311121076,6.36240079427295,6.58376569376145,8.27329306350533,8.65952741728034,7.30507291915325,6.68103592028293,8.06944396672513,5.69714563080824,5.084053619807441,5.15836383200264,6.1786011633508,5.08819847128092,5.720489566114661,6.619632530492019,8.771379354153991,5.2618047004087005,9.26523021137383,6.3340703299562895,5.482920913791831,5.522779523758709,4.328337200388201,5.42446037231583,5.99613713205091,4.0476361665130405,5.83734813851357,6.110227238730951,4.81385420289354,11.5175259568672,5.3786061222573,8.56974922300073,7.50415758495032,8.43898180448634,7.90777675394084,7.435529265123629,12.0488276138307,9.1912393864123,5.70831399745559,5.90596449451916,7.221869737917089,5.42773160331012,8.72408951251338,6.927700924131889,8.669756533144621,7.828268138270191,10.0098205027464,4.6518646707639295,5.8858021468642,5.53655988438886,8.550898481304799,4.4020827341414295,5.819458480070361,6.681377964963059,6.00673374989472,7.55612503367071,7.88234334746622,8.221713020772,7.672959138431151,8.399002769612451,5.2300535923586,6.88882154552591,5.13017728552498,7.25638552201013,5.7944664589449095,6.5358153314828,7.38184139169513,5.2009279234038,5.94405494097888,7.96407820542831,5.62309351555359,8.42578325197659
Ovarian_Tumor_Serous,9.06019892853035,10.1819268077792,8.733624162183581,8.50649941069521,4.27355662046099,6.91843498991308,6.04853224465854,8.655585997662259,7.84097292669341,7.101918065691169,6.51552078511623,9.813634294332427,11.6305291458311,6.53388876590074,8.42369282768695,4.26952586977425,7.0913213150991705,4.86388763945313,5.4776464003468,5.3126603183468495,6.841739114945099,4.502293769560089,9.86288292545307,6.39886371712954,6.31351236501176,8.296037259288699,6.64577464240061,6.41904994187054,4.631785939324749,9.02164330879587,4.476710836667901,5.56228496998099,11.0612080671487,6.07951773744066,8.162554579811259,5.450455141150219,4.89086020311778,12.3438219819519,5.407249014886099,7.99427266963958,7.71679406630368,5.583568722935111,8.86048115608373,7.182297189157669,5.718973518775481,11.0317402143236,6.061970103208751,6.5716499090096505,6.46698601050704,5.61607829476562,5.10644782370667,5.24512173570794,9.66608966796326,6.7746588819117,11.487900177021196,4.59023450387309,5.88683692526889,5.61952369347746,8.32244797374767,4.35637071804914,5.60298085067562,8.12323530057975,8.71550579011957,7.99393205727709,6.82375294072116,7.68871372462883,6.884671735517809,5.78458888765725,5.6371870341803705,6.16031551779942,5.183220459566571,6.527664894270309,7.9628031000235,6.69510727966854,5.13441354573788,5.29416650313867,9.11469253649188,11.242250094050698,5.83165036631122,9.00941621446816
Ovarian_Tumor_Serous,8.8353156686708,10.3567488290411,8.86018717376082,8.829883968212789,6.3824033281928,7.87208326831986,6.14288649356977,10.4549110299165,8.26168637510174,7.946180325315651,6.42905661229193,8.87675944070575,9.49198460799036,6.50407740240217,8.97783262112068,4.81328442564288,8.1676475398909,5.1937917108053,6.64700898968075,7.454564012936459,6.83687199353307,4.45311875997809,8.990413020895769,6.5969003533822095,6.12707166959828,6.864702075711549,6.701898370349211,6.17414341838549,5.38209716264317,7.0983144231477,4.39249133045437,5.9501067835814,10.4475573825915,9.525258366781982,7.11340770016379,5.243783799492481,5.720345251522669,12.1485151327386,5.37475952823167,7.17317299482864,7.535924413489559,6.42155887144811,10.2311083312963,7.894982095314321,5.72593532476366,11.4444041661303,5.92724460326447,5.79325741129771,9.053392471371009,5.31887849314423,6.25088157128519,4.8985804603766505,9.68496284757746,6.618773120015089,9.088087382597038,4.53028725508334,5.966445005840501,5.50649641329178,8.31234288636091,4.34383423186132,5.01985859601579,8.80961891516601,8.17965616845554,7.86831130972009,6.74222942867958,7.2850975558665,7.394843767547901,6.4054185174158,5.49225845709069,5.920428169204191,4.9279193753848896,6.454322252905341,8.806206340117411,6.14289519116775,4.79308262298432,5.30081119816472,8.24243853656418,9.63539393040234,4.66741731515135,8.53140061445635
Ovarian_Tumor_ClearCel,7.19196084216794,8.68585955149111,12.8403482407579,12.6015681057597,9.6616168281705,7.673819700976519,6.08949743832878,7.555036800750281,6.8917403526611904,6.28831928569345,6.92816316957958,6.57932431097118,7.08829210457892,8.483834293741731,6.68390406563527,4.7144474606624005,8.564511162766111,5.228532597368679,10.9024075929032,6.62952655580482,5.16577194672746,5.938540709507389,5.79381586400382,8.20432518426417,6.57575442988458,6.95004585371745,6.731224030396709,7.66621692997045,9.66718954169022,6.437915349089071,9.20956844924468,7.52150175087729,5.098822806318791,4.11380031825136,6.32781017169389,6.37944537412022,7.6869566699242595,10.1361666201424,7.21937465280845,10.844202534441,7.44194273525748,9.77241238512815,6.61897205137259,7.9719188264131295,8.98458486560413,9.12540244638635,6.67870607324851,6.7191607741762605,8.67684029604326,6.324807334313331,9.449219880188853,5.36371931925838,7.78053728741562,7.85479367635641,7.67873957377721,7.39306676823974,8.70518604468738,7.00117614384447,9.04871090607193,5.6722649769368205,5.56993222466379,7.100368748592991,5.66117438195239,6.61685159612447,7.96567188215829,7.09484119238447,7.57593483286924,9.63048605124173,5.809234616210821,6.23466562707649,5.27618775296983,8.14646299639043,6.658780324381981,7.56929442322411,8.30614104791037,5.853330022430001,7.54950148832747,9.20599935090648,5.24528939758986,9.434916660217
Ovarian_Tumor_Serous,9.35881695357307,10.6830728640659,9.75056668727201,9.53801192216558,5.329871062997929,7.14215012326836,6.11411970909296,9.714974122876631,9.369089220633551,7.880675562814009,6.391538779156541,8.020245980797759,11.03060946022,5.91188807340279,8.90450985408447,4.608668096286481,6.66374257367985,5.971820833517881,6.5362596568610405,5.00065757180895,6.9125241736537895,4.54417226374108,9.8235101364317,6.4173014687432,6.551583609052111,7.0733238686740005,7.2511015126557,6.67866477042475,4.90509277851784,9.96530514184969,4.4049772818878,6.09363618936278,10.404373868929,8.17663601780904,7.200426752842031,5.198682041964941,4.629689106246071,11.4090312627019,5.24037651013123,7.65295856575985,7.17879556138849,5.41656404720014,9.15482882509064,7.6957241099049405,5.77304523516142,10.5289887543727,5.671842914323981,6.0682440947933305,6.31009252235898,5.64137149380166,5.679883946810781,4.9167731298055,10.2864168817711,6.590041370291389,10.3733679036293,4.36184459325113,5.680826287315731,5.76292910379779,8.077191834160969,4.26991228940107,5.30737871033459,9.12113218236205,8.79289663570037,7.35605935281935,6.73157800083007,7.614455921789331,7.034471648415931,6.64393016622905,5.36070494126509,5.95038231386438,5.18252690391547,6.46245922793435,7.155918450906191,6.23960075555044,5.57512204162797,5.05435376464635,7.9604423826232305,9.9424687063543,5.3261860357981,8.398267115885231
Ovarian_Tumor_ClearCel,6.97704732947776,9.07318976060351,12.56889298721,12.0578273367822,8.767019333387719,8.05048700048491,6.31080625867773,7.91820292671006,5.91424669415411,6.32587974983976,7.25426743375844,6.7994180888713895,6.84616552521559,7.42733223768945,6.884016306938539,5.719779033827191,9.45043195571763,5.48697861980216,8.04505420261493,5.04302747985971,6.1723424250336505,4.795098325717469,6.612162396763719,8.40334770201091,6.360474739431259,8.08566951514743,7.794461137172611,8.2655362492644,8.74020936229282,6.162600574594411,10.9631133928264,10.2537399414568,6.353068446309281,4.10519189124286,5.86260268801034,6.997751014225191,8.75355570472975,8.81323817325134,6.00038536879118,9.02265710874486,8.12824656074137,6.23690761859681,7.6558704092917,7.9841925851984,7.47902780685305,9.27656763038221,6.370864378423259,6.13755686494952,9.201655808974731,7.96261473058264,8.64339971484297,5.19192861350192,6.65388059789259,7.799826556741741,8.54089509547175,5.48697861980216,8.18814055926834,6.416734698423291,9.91324980108914,4.533258545000139,5.43032440671468,6.34017309431831,6.0538132467740295,6.674024354705581,7.83124280786047,7.243140870303231,8.69102897110647,6.65225225290339,6.175537112211231,6.35032470578462,5.232710750113861,8.90316969158278,5.761318987603589,7.09627417161111,11.1565979041299,5.4473694179577805,9.43034304909422,9.19813630924439,5.252268269436099,9.06586192728562
Ovarian_Tumor_Serous,9.37195083460433,10.2359443837952,8.84170573729143,7.96910762247367,5.2096742443664805,6.42103561596229,6.258445761240099,8.0561033720396,8.433418515966249,6.401514422724191,6.49826900052459,8.88362137835113,9.74017677648643,6.27114861243832,7.48804465106103,5.0198849719582,6.17507059709966,4.91531027138837,5.24773783774392,5.087621490429901,6.87024115594013,4.53933745478808,9.8475519103428,6.72067516031316,6.614229591259219,7.23640999938869,6.576209842969449,6.63367083316956,4.908345095625361,6.96822362191736,4.38759973903847,5.81135550182552,9.2998845815921,6.78110873291584,7.186980789532219,5.34869822078585,4.64362147441103,10.9502847055584,5.269243669332179,7.44341066883096,6.870124618750969,6.39184736112424,8.55561881534967,7.59596483835761,5.821756779657121,9.08014826750417,5.8165402844694105,6.0692692487120405,6.082478853554791,5.87167872046551,6.25024674548087,4.90172784303042,9.30463183193271,6.42966878367033,9.49923920198966,4.47056628120733,5.45239606547678,5.66376935221992,9.26776541006156,4.41805382391533,5.06829752503012,8.6185947143447,7.664641555307599,8.43435759936983,6.6686416845962695,7.35756665612457,6.8903643252250495,5.660073534654651,5.41635662339867,6.367165183536709,4.937930168630411,6.85928365488168,8.35852257640423,5.78597540494038,5.957652059729461,5.161398005156269,8.315367734206669,9.8716503725764,5.148039051801731,8.320492288249309
